"geographicAreaM49","geographicAreaM49_description","aquastatElement","aquastatElement_description","count_after","count_bef"
"4","Afghanistan","4550","SDG 6.4.2. Water Stress [%]",32,0
"8","Albania","4550","SDG 6.4.2. Water Stress [%]",29,0
"12","Algeria","4550","SDG 6.4.2. Water Stress [%]",29,0
"24","Angola","4550","SDG 6.4.2. Water Stress [%]",29,0
"31","Azerbaijan","4550","SDG 6.4.2. Water Stress [%]",26,0
"32","Argentina","4550","SDG 6.4.2. Water Stress [%]",24,0
"36","Australia","4550","SDG 6.4.2. Water Stress [%]",9,0
"40","Austria","4550","SDG 6.4.2. Water Stress [%]",39,0
"50","Bangladesh","4550","SDG 6.4.2. Water Stress [%]",11,0
"51","Armenia","4550","SDG 6.4.2. Water Stress [%]",24,0
"56","Belgium","4550","SDG 6.4.2. Water Stress [%]",19,0
"68","Bolivia (Plurinational State of)","4550","SDG 6.4.2. Water Stress [%]",32,0
"72","Botswana","4550","SDG 6.4.2. Water Stress [%]",27,0
"74","Bouvet Is","4550","SDG 6.4.2. Water Stress [%]",11,0
"76","Brazil","4550","SDG 6.4.2. Water Stress [%]",11,0
"84","Belize","4550","SDG 6.4.2. Water Stress [%]",32,0
"100","Bulgaria","4550","SDG 6.4.2. Water Stress [%]",29,0
"104","Myanmar","4550","SDG 6.4.2. Water Stress [%]",32,0
"108","Burundi","4550","SDG 6.4.2. Water Stress [%]",32,0
"112","Belarus","4550","SDG 6.4.2. Water Stress [%]",24,0
"116","Cambodia","4550","SDG 6.4.2. Water Stress [%]",13,0
"120","Cameroon","4550","SDG 6.4.2. Water Stress [%]",32,0
"124","Canada","4550","SDG 6.4.2. Water Stress [%]",28,0
"132","Cabo Verde","4550","SDG 6.4.2. Water Stress [%]",18,0
"140","Central African Republic","4550","SDG 6.4.2. Water Stress [%]",32,0
"144","Sri Lanka","4550","SDG 6.4.2. Water Stress [%]",29,0
"148","Chad","4550","SDG 6.4.2. Water Stress [%]",32,0
"152","Chile","4550","SDG 6.4.2. Water Stress [%]",10,0
"170","Colombia","4550","SDG 6.4.2. Water Stress [%]",19,0
"174","Comoros","4550","SDG 6.4.2. Water Stress [%]",20,0
"178","Congo","4550","SDG 6.4.2. Water Stress [%]",32,0
"180","Democratic Republic of the Congo","4550","SDG 6.4.2. Water Stress [%]",24,0
"188","Costa Rica","4550","SDG 6.4.2. Water Stress [%]",6,0
"191","Croatia","4550","SDG 6.4.2. Water Stress [%]",10,0
"192","Cuba","4550","SDG 6.4.2. Water Stress [%]",18,0
"196","Cyprus","4550","SDG 6.4.2. Water Stress [%]",18,0
"203","Czechia","4550","SDG 6.4.2. Water Stress [%]",22,0
"204","Benin","4550","SDG 6.4.2. Water Stress [%]",34,0
"208","Denmark","4550","SDG 6.4.2. Water Stress [%]",31,0
"214","Dominican Republic","4550","SDG 6.4.2. Water Stress [%]",19,0
